captured_at,current_speed,free_flow_speed,hour,day_of_week,historical_crash_count,temperature,weather_code
2026-05-05 19:20:43,33,53,19,1,1,28.3,0
2026-05-05 20:02:15,33,53,20,1,1,28.3,0
2026-05-05 20:07:15,38,52,20,1,1,28.3,0
2026-05-05 20:10:06,37,53,20,1,1,28.3,0
2026-05-05 20:15:06,33,52,20,1,1,28.3,0
2026-05-05 20:20:07,32,53,20,1,1,28.3,0
2026-05-05 20:24:50,42,52,20,1,1,28.3,0
2026-05-05 21:09:34,38,52,21,1,2,28.3,0
2026-05-05 21:14:34,36,53,21,1,2,28.3,0
2026-05-05 21:19:35,43,53,21,1,2,28.3,0
2026-05-05 21:24:35,41,53,21,1,2,28.3,0
2026-05-05 21:27:19,42,53,21,1,2,28.3,0
